split,sample_id,label,length,sequence_hash_sha256,source_dataset,source_row_id,cluster_id,component_id
train,AMP_00000011,AMP,178,3bfaa8d3ef8ab6d7120cfdc522d36d77a35887e75c701a662b1bb26ca1368e1a,REPAIRED_20260207_201042.csv,11,cdhit_1293,11
train,AMP_00000012,AMP,125,f22b37f6b31e58855c18e63a233d4d573cc11b74e3892c3ffc893fa9a1941dca,REPAIRED_20260207_201042.csv,12,cdhit_3998,12
train,AMP_00000013,AMP,111,f80c50328cad151861ccd48d087344f14d89f3c641a5f7716ea51066820c88f4,REPAIRED_20260207_201042.csv,13,cdhit_4538,13
train,AMP_00000014,AMP,108,c12af4bc7c05d0444652b62cb7ae9dc139df7710525e994f368da0a88b7981ea,REPAIRED_20260207_201042.csv,14,cdhit_4632,14
train,AMP_00000015,AMP,174,1b0ed0ff323fdc89bc7908f87614d1ccf5d3a97d0febe5e7db6682783831e75c,REPAIRED_20260207_201042.csv,15,cdhit_1522,15
train,AMP_00000016,AMP,171,fa9f48ad5c9991dc207f7a99aebfe11528d54f06eadaf698f6a17248783d8fe9,REPAIRED_20260207_201042.csv,16,cdhit_1685,16
train,AMP_00000017,AMP,111,b47e705abdd1c86e095fb290824f78bf3c08592e18c33d0934a47fb0191abf4b,REPAIRED_20260207_201042.csv,17,cdhit_4539,17
train,AMP_00000018,AMP,158,bbdc308d9a466bea13aa95f377b4a979d451bda4c60be25367235673d27d337c,REPAIRED_20260207_201042.csv,18,cdhit_2518,18
train,AMP_00000019,AMP,173,621f83b822581efc8951087181eaf7f9f147ad1503e0b28ec5ce18e36761b735,REPAIRED_20260207_201042.csv,19,cdhit_1575,19
train,AMP_00000020,AMP,194,625c75b757d8f5594598dea9a18b714c3ab07c32ab088315bf05cf72016db474,REPAIRED_20260207_201042.csv,20,cdhit_328,20
train,AMP_00000021,AMP,173,0631e63b4777cd222c6d5c72a3973e33ecb5d21799867dea91bc66a0cd8d19be,REPAIRED_20260207_201042.csv,21,cdhit_1576,21
train,AMP_00000022,AMP,124,f43b5538063ebe8979ccaf4686623af5c4aed601dc8951bb43f6250435c0b854,REPAIRED_20260207_201042.csv,22,cdhit_4039,22
train,AMP_00000023,AMP,47,c8a245ce596aabb59ec85fc096fed25e206c402d2970f402941e81affd226866,REPAIRED_20260207_201042.csv,23,cdhit_7073,23
train,AMP_00000024,AMP,160,96589bd0c21b0c70daa3c0c65e97f84749e4b104bda1010c5bb66ad8854a6f6e,REPAIRED_20260207_201042.csv,24,cdhit_2402,24
train,AMP_00000025,AMP,129,f2a0108d5e9aae9e19a9c73a305452caa72be83b898ca17249023eae2f9b262e,REPAIRED_20260207_201042.csv,25,cdhit_3833,25
train,AMP_00000026,AMP,161,4c04e550fc66094aca15cf493e1374b26fdfdbf49a96d539b186f10e14c5b661,REPAIRED_20260207_201042.csv,26,cdhit_2345,26
train,AMP_00000027,AMP,144,eab33d4d31b7dea02e1a94a763998ef377aa07928786ac9d559ce7e81e55b1d3,REPAIRED_20260207_201042.csv,27,cdhit_3176,27
train,AMP_00000028,AMP,60,4fef1103267bf0b96898095c9882cc9de245cf8f206946572b8bdeff67dcca28,REPAIRED_20260207_201042.csv,28,cdhit_6652,28
train,AMP_00000029,AMP,48,8f6d9d4a56f1e95559f2089fd9f1dd5bf2fbeab10d4338d3881ca556af42a187,REPAIRED_20260207_201042.csv,29,cdhit_7042,29
train,AMP_00000030,AMP,47,7741b50273bc3c18759821be93e9bdbdd8ae7fef5f60ffea26a02be70b54aba8,REPAIRED_20260207_201042.csv,30,cdhit_7074,30
train,AMP_00000031,AMP,130,7335df66a6037bccd697f6e3f9eac8eb5f1b52d61a3dc010f94604fb40598baf,REPAIRED_20260207_201042.csv,31,cdhit_3798,31
train,AMP_00000032,AMP,111,6f8e931da5ec354513ba968d3d109e2bb20ea7b4960917335d4588fe725d2806,REPAIRED_20260207_201042.csv,32,cdhit_4540,32
train,AMP_00000033,AMP,89,a34ec6c5765f24699df2aed585e4ab2b187f0b593902a9c438ba2e872d36fdfc,REPAIRED_20260207_201042.csv,33,cdhit_5483,33
train,AMP_00000034,AMP,26,4b0b846f3dc3825c56b8d772b8c3ae1254c7e7101b308c022ab2d3be5d0387e1,REPAIRED_20260207_201042.csv,34,cdhit_7840,34
train,AMP_00000035,AMP,90,a04bc87c71c63887ed9210446b0e67a9021d24fc0810e9670b0bcdaa83b9b341,REPAIRED_20260207_201042.csv,35,cdhit_5427,35
train,AMP_00000036,AMP,164,b75ff9fab3773ecc7e4c320b67187d3d5b2c2379dadc3e2c89e6d8ccdb070336,REPAIRED_20260207_201042.csv,36,cdhit_2178,36
train,AMP_00000037,AMP,50,4272fcf3e5a4b1c8bdb61c8de4d195dd457643b4b098af63e496b7e6b3562ae8,REPAIRED_20260207_201042.csv,37,cdhit_6975,37
train,AMP_00000038,AMP,86,7e04b151f418ec0d1dc9c44c2928ec2abda84337c6a77a29aca771cbb03721a1,REPAIRED_20260207_201042.csv,38,cdhit_5635,38
train,AMP_00000039,AMP,171,3696677918564b83b26b5d8ec726d07fab09ad5e9844cf2291f3f62671cf2e41,REPAIRED_20260207_201042.csv,39,cdhit_1686,39
train,AMP_00000040,AMP,28,bde5879ad6ecff218a3ab1f34aada23ae810055e2946bd21ca04941d120d1472,REPAIRED_20260207_201042.csv,40,cdhit_7766,40
train,AMP_00000041,AMP,28,6459be30129a404f12655245dbb469f928b773a08ed8fb1412dacc26876a2515,REPAIRED_20260207_201042.csv,41,cdhit_7767,41
train,AMP_00000042,AMP,67,c26d39fd3c520e0c62d68b50217ac262c53aeed67daf9c9b4d80e273d6bed426,REPAIRED_20260207_201042.csv,42,cdhit_6367,42
train,AMP_00000043,AMP,93,8b6c468ed9e85fafa037ebc7f8ee8918a98fb466b8a76a947f2445bef1865c30,REPAIRED_20260207_201042.csv,43,cdhit_5249,43
train,AMP_00000044,AMP,134,58ede5bb348be49b3f35a8e4822ddab1c9e776b968b97aa35382b858ca620f50,REPAIRED_20260207_201042.csv,44,cdhit_3640,44
train,AMP_00000045,AMP,120,0a3b7e4de1c582911087741d3aeaa117c0135b3214e56b0febc7fe02229878d6,REPAIRED_20260207_201042.csv,45,cdhit_4193,45
train,AMP_00000046,AMP,103,c2b4deb6e23082fbbd890fe5232ba5f05cba84f5b58e6ec144818408cf43fe30,REPAIRED_20260207_201042.csv,46,cdhit_4820,46
train,AMP_00000047,AMP,54,29910e08bfa1c217678e3746740166da8d29b0ee91ead478ec7a5071f8b558aa,REPAIRED_20260207_201042.csv,47,cdhit_6875,47
train,AMP_00000048,AMP,71,d7b3b760bde44f40408a6b47d9ee80e1a406f3df2364b464dce5fbe28a1fc05c,REPAIRED_20260207_201042.csv,48,cdhit_6214,48
train,AMP_00000049,AMP,91,bc42645c2d84c3c228005dd76458059d5de994057cef4baae1d62575a53e3df8,REPAIRED_20260207_201042.csv,49,cdhit_5365,49
train,AMP_00000050,AMP,54,3e7e6a8a19bccea06e8ce71aa080d1105ea524f0f6933a4a370182682263b87f,REPAIRED_20260207_201042.csv,50,cdhit_6876,50
train,AMP_00000051,AMP,197,61474ad527b012977fd692789e432a9ac42314b229961ac217d4b8ee88dc9b25,REPAIRED_20260207_201042.csv,51,cdhit_163,51
train,AMP_00000052,AMP,82,625a913294c5e2c8b94327d45b4835d7e8eef82726c9b5fefabbef9d09515932,REPAIRED_20260207_201042.csv,52,cdhit_5824,52
train,AMP_00000053,AMP,166,0ac4fc9d878a8cf54d575cec07bca9d3e4ac4cbc8ad9f42486d9e6c3056c5c68,REPAIRED_20260207_201042.csv,53,cdhit_2062,53
train,AMP_00000054,AMP,96,dc424ef15ae167ca15a59b09869901040e3211e4ad97766d5d944870aad0ca85,REPAIRED_20260207_201042.csv,54,cdhit_5120,54
train,AMP_00000055,AMP,126,fc5ad04c1dd204643fd40625ed9987c4fd1c8a28d46fb096c98c891ffa27f15d,REPAIRED_20260207_201042.csv,55,cdhit_3965,55
train,AMP_00000056,AMP,70,707c5b3be91db1f84aca07a8db3d276b7b6853a09c6720c8c25c4fd0d79857ae,REPAIRED_20260207_201042.csv,56,cdhit_6250,56
train,AMP_00000057,AMP,196,0c5e84dc58795d2bc01d0cb4397e10b8cef1c95ddb2008d252283173ae7254fb,REPAIRED_20260207_201042.csv,57,cdhit_223,57
train,AMP_00000058,AMP,135,fd15c8f6e9c51116b77aa170fc4f47304844cee2afcfdba49a8b11dba4262190,REPAIRED_20260207_201042.csv,58,cdhit_3606,58
train,AMP_00000059,AMP,103,c2074d385b8a7b9392baf8db2ffccdf6881c99d2a91322750a955971a0ae3315,REPAIRED_20260207_201042.csv,59,cdhit_4821,59
train,AMP_00000060,AMP,152,bc27a404585039118c38a78c981ae9ab2c2e521c5a75edf327b0fe7837f64443,REPAIRED_20260207_201042.csv,60,cdhit_2803,60
train,AMP_00000061,AMP,91,87ab17f31e8bec1b4c4d963de18de65a161390d9f8c3dc3778481988c53d30cc,REPAIRED_20260207_201042.csv,61,cdhit_5366,61
train,AMP_00000062,AMP,117,db1575d76c12d16ebea3687e0f025f60c36dc86d5a1da8866b0e1329cf7864ef,REPAIRED_20260207_201042.csv,62,cdhit_4321,62
train,AMP_00000063,AMP,41,6bf983186eb8871b2a86874168929f7c458ba3029619420c264ac3790c327623,REPAIRED_20260207_201042.csv,63,cdhit_7319,63
train,AMP_00000064,AMP,135,0b02ee15b46288d194b295cfc008f051a142f382ea21b5e4ac40c37d0a2b3437,REPAIRED_20260207_201042.csv,64,cdhit_3607,64
train,AMP_00000065,AMP,193,e928306c121f9aa36643d96be6a66af24ae271ce3dcc9d987f9817f952143aac,REPAIRED_20260207_201042.csv,65,cdhit_380,65
train,AMP_00000066,AMP,95,6c95315abe9e38da894096eced81c544d8f11d3b052b59f222f8a1ef8e4382f2,REPAIRED_20260207_201042.csv,66,cdhit_5170,66
train,AMP_00000067,AMP,99,415e74429f76f3549466b7e1406d88983c61166ffb4de2bafc7795f8d8148580,REPAIRED_20260207_201042.csv,67,cdhit_4990,67
train,AMP_00000068,AMP,80,d889657f6e9185ad31c6a824983fb4074fa1f02c4dfde04dfa73811b33b59166,REPAIRED_20260207_201042.csv,68,cdhit_5893,68
train,AMP_00000069,AMP,48,a7593929431c8f922154105bd769da7741dcbb0a4a2a4b993235869f9974ace5,REPAIRED_20260207_201042.csv,69,cdhit_7043,69
train,AMP_00000070,AMP,41,94bb59afcefdc4266a38ad93cca102a674a2963872d52131214e3138b68fe880,REPAIRED_20260207_201042.csv,70,cdhit_7320,70
train,AMP_00000071,AMP,169,7d50ed3e0196a759df40418d25976599bf9c62a7545a81a2f9c95ecffaa063e3,REPAIRED_20260207_201042.csv,71,cdhit_1835,71
train,AMP_00000072,AMP,48,aa91f00ee6840275083a34870ee981847c7978326d5fc8350d6a2ac63322d62a,REPAIRED_20260207_201042.csv,72,cdhit_7044,72
train,AMP_00000073,AMP,48,9f29becbe9f123d9be151158bd0e29192f1143270a2a5d25fcd37730a8795f54,REPAIRED_20260207_201042.csv,73,cdhit_7045,73
train,AMP_00000074,AMP,142,e959fbf087e8399a6f4d16379d2d97bf3674af41e85a9e67cc1a3fd035d14034,REPAIRED_20260207_201042.csv,74,cdhit_3283,74
train,AMP_00000075,AMP,163,ff8078e140b95bbea1c25be960e153012aa8568e2290ae1ef60c84f633909515,REPAIRED_20260207_201042.csv,75,cdhit_2234,75
train,AMP_00000076,AMP,120,971a4fa6c30e771a89203e9412801e488c4028cfd628a28d4029cc0f5006f8b9,REPAIRED_20260207_201042.csv,76,cdhit_4194,76
train,AMP_00000077,AMP,57,6167fe616f5906b1780b9ecdf232bad31b80437329aa8d9fba905291fbdc3072,REPAIRED_20260207_201042.csv,77,cdhit_6758,77
train,AMP_00000078,AMP,72,773dff0db16301bcda6bd9dcd6f4310bd7122a911c8c191f2da0dec4abb60570,REPAIRED_20260207_201042.csv,78,cdhit_6177,78
train,AMP_00000079,AMP,148,f1873045a42729744f00b2b6e375884c7830836a82264b7560915acacfac8c8e,REPAIRED_20260207_201042.csv,79,cdhit_2972,79
train,AMP_00000080,AMP,77,63ea420b4aee44479b7626deea54e11b2df7670f7040e3a9f22c384e309a5225,REPAIRED_20260207_201042.csv,80,cdhit_5997,80
train,AMP_00000081,AMP,103,40ac0903ea50e6a62ddf2b65be9921730a52d98ca88cc5b7d8f0511c8ec63eb9,REPAIRED_20260207_201042.csv,81,cdhit_4822,81
train,AMP_00000082,AMP,149,16727ddbe170c084f5778c1d5ee8ff58b3b4a9270714e1b3b67c39914aa3d2c1,REPAIRED_20260207_201042.csv,82,cdhit_2930,82
train,AMP_00000083,AMP,49,419cc38fd0890995855d993225d6c1faa6fbe58848488364a74f5dfde9782504,REPAIRED_20260207_201042.csv,83,cdhit_7004,83
train,AMP_00000084,AMP,144,78af8dd89742c7613d2605ca987254e530e99a9044c2788c3f36f8a571790d8e,REPAIRED_20260207_201042.csv,84,cdhit_3177,84
train,AMP_00000085,AMP,50,5c3bae32c1abdc6df5c2b2c828224bfd536ae42263ecf44be83efef356e8da23,REPAIRED_20260207_201042.csv,85,cdhit_6976,85
train,AMP_00000086,AMP,178,cf4d5ab5476d652ac1ff9258e184ad291729129db32c07cafdfbfa3a7b0d792f,REPAIRED_20260207_201042.csv,86,cdhit_1294,86
train,AMP_00000087,AMP,179,ba31fadfc1dac84b1e9ad3b4093c3e5cd38f7148d7df84355687e574f9779d4f,REPAIRED_20260207_201042.csv,87,cdhit_1219,87
train,AMP_00000088,AMP,32,7908ced9cfe13a1cbc6b71e8456a4496fcd91994d2e157dcaf339b1b9ec3abc8,REPAIRED_20260207_201042.csv,88,cdhit_7584,88
train,AMP_00000089,AMP,152,ae3f9a977ca54b6faed265cfbd17ed68c4264c543fe15bbc9a70a216ead84904,REPAIRED_20260207_201042.csv,89,cdhit_2804,89
train,AMP_00000090,AMP,180,3c25805129d3e169d315a7616d294f22595349895b353eac918026325ce8696d,REPAIRED_20260207_201042.csv,90,cdhit_1162,90
train,AMP_00000091,AMP,138,860252dcd790f23b25d39c6291c695a597ae1d18489ff2466f3f9cc644f91ce8,REPAIRED_20260207_201042.csv,91,cdhit_3444,91
train,AMP_00000092,AMP,166,45db1454615bd908c2d88a4f434112f313b664e71fd15ec8666e2a3cde5c6a35,REPAIRED_20260207_201042.csv,92,cdhit_2063,92
train,AMP_00000093,AMP,61,e30d303e6c3d4a4c3b5023266c87e40a21b4e29c73176e38d46e9d0611449add,REPAIRED_20260207_201042.csv,93,cdhit_6609,93
train,AMP_00000094,AMP,140,94df7b29cc8c462822bca12d5279233bb357f2a10e5527293b011a0c54641ea7,REPAIRED_20260207_201042.csv,94,cdhit_3369,94
train,AMP_00000095,AMP,32,83fe65ee9978dd494b0b1fec8af9f333e78415e6b41387141e42e6370b4e5a94,REPAIRED_20260207_201042.csv,95,cdhit_7585,95
train,AMP_00000096,AMP,95,8dda73349d95be6b9ac8eeaed270d7606d1b865b668e97212c7b816c8ec0a199,REPAIRED_20260207_201042.csv,96,cdhit_5171,96
train,AMP_00000097,AMP,69,50552745e2e2e3986d456ab988467383a83c71599ebe245a617d9992dc4f0966,REPAIRED_20260207_201042.csv,97,cdhit_6285,97
train,AMP_00000098,AMP,199,5895093370aef82659c9118fdaea2aa8741b70a810115cbf4cbf18013668da6e,REPAIRED_20260207_201042.csv,98,cdhit_45,98
train,AMP_00000099,AMP,134,5048d11609b83f726b44675e7218a6a64156d26dc4c479fe4745f3b73ca73d37,REPAIRED_20260207_201042.csv,99,cdhit_3641,99
train,AMP_00000100,AMP,130,831c0263c01ed3d936479085daf600d165810eaf66b9344e3c7f7899d1cca1a6,REPAIRED_20260207_201042.csv,100,cdhit_3799,100
train,AMP_00000101,AMP,71,46f1d44137882a07180ab4cb9ba6a38f1d7bd05406d3f7cef360d1620240ca8f,REPAIRED_20260207_201042.csv,101,cdhit_6215,101
train,AMP_00000102,AMP,91,77ae8894d836f01fc69205640298814b4ef976be19d09724e9aa850586db149c,REPAIRED_20260207_201042.csv,102,cdhit_5367,102
train,AMP_00000103,AMP,73,13d83c0d5b7484b357cfcfaa2664e965653398570da531e098cffc053c447ac0,REPAIRED_20260207_201042.csv,103,cdhit_6136,103
train,AMP_00000104,AMP,134,5d7e835497a34f0ce4de2c70cb6b541b8c3769f97d6b8391c0f959456036110b,REPAIRED_20260207_201042.csv,104,cdhit_3642,104
train,AMP_00000105,AMP,97,e24262526b6db6a5a0e98b4ce70eb2086ffbf06d6de7dff4593ade5694f46da3,REPAIRED_20260207_201042.csv,105,cdhit_5075,105
train,AMP_00000106,AMP,104,f5b8d2ce7698afb42b31316931086da4ff3423a57168576a673f1641be0f74db,REPAIRED_20260207_201042.csv,106,cdhit_4770,106
train,AMP_00000107,AMP,117,ae3c36fdd61252bcbad41e4a037eb75f56bc9ffab44d5cf4dd418a7eb0a4a358,REPAIRED_20260207_201042.csv,107,cdhit_4322,107
train,AMP_00000108,AMP,150,ace25d86b5059892a8433d75b7701940ca84de3619b40e625edac639a9b4e78e,REPAIRED_20260207_201042.csv,108,cdhit_2889,108
train,AMP_00000109,AMP,77,4b48b1a11efb18e15522efeb95d15e0d75e8642fad4594c5951f9c0c48859de1,REPAIRED_20260207_201042.csv,109,cdhit_5998,109
train,AMP_00000110,AMP,120,5c4509ab5fc1b35d6435db022bce61f3ebd1dc3b7cd7771b113e4adfd04c488a,REPAIRED_20260207_201042.csv,110,cdhit_4195,110
train,AMP_00000111,AMP,144,4eecb74d7eb542fddaa4dd28b45c45764925f2732f2a006072fb3f5d70ee41f9,REPAIRED_20260207_201042.csv,111,cdhit_3178,111
train,AMP_00000112,AMP,69,5c0baf75d96c711b2bebcd4abdf7f0ca85ea94f6d06be7faf06fd73847f7031c,REPAIRED_20260207_201042.csv,112,cdhit_6286,112
train,AMP_00000113,AMP,181,ca25e8dec06ef18b5972377082810245d36d95745dd7b832360b337a826d26a9,REPAIRED_20260207_201042.csv,113,cdhit_1109,113
train,AMP_00000114,AMP,143,1fb2f4fd5fa0705be58d3e922eac177e5c6b894b10435c9c888a2bfccbc1d4d5,REPAIRED_20260207_201042.csv,114,cdhit_3231,114
train,AMP_00000115,AMP,86,8247a9026351820fd6bbba38babec1fd9cd6ac0000d927e425641e905b2d2724,REPAIRED_20260207_201042.csv,115,cdhit_5636,115
train,AMP_00000116,AMP,193,7b03ddc214055f2753596c8333fb4001829e4111ada8ba2663b76b93a88cc2a6,REPAIRED_20260207_201042.csv,116,cdhit_381,116
train,AMP_00000117,AMP,85,cf10aeecbde7370550fa148527cc5f00b52ec129cec67f08d7c52ee13ef345a0,REPAIRED_20260207_201042.csv,117,cdhit_5689,117
train,AMP_00000118,AMP,151,ed13dddb47952874c39270eb2e214a7f030ed11830a9c7dcbd7ccb5891b07743,REPAIRED_20260207_201042.csv,118,cdhit_2842,118
train,AMP_00000119,AMP,196,abb85041c754bbd58ef75bfcd12e8837858bf6dbf11795129a41e20633898cba,REPAIRED_20260207_201042.csv,119,cdhit_224,119
train,AMP_00000120,AMP,89,95684e326242262749ca3dc712012268cfaffcf9f4cd16078b08001bacc368b3,REPAIRED_20260207_201042.csv,120,cdhit_5484,120
train,AMP_00000121,AMP,117,9c7bae6f5c1848fb4856f1208bf51f396806147643cda75449fdd661454efb18,REPAIRED_20260207_201042.csv,121,cdhit_4323,121
train,AMP_00000122,AMP,100,8e4d07bf456d46800e5611b0c2a4d2a00a84a935a6a89e2963e844999a2fc59f,REPAIRED_20260207_201042.csv,122,cdhit_4950,122
train,AMP_00000123,AMP,91,119072e0ad06861af9630d39a9d1461f7f85bccd34840f3c218aec5e5017d3b4,REPAIRED_20260207_201042.csv,123,cdhit_5368,123
train,AMP_00000124,AMP,156,1d5b167f8daddc875a951fe252043433998385f4d4bce04c8789726d029f278b,REPAIRED_20260207_201042.csv,124,cdhit_2614,124
train,AMP_00000125,AMP,185,ed7b747ab04dbb5f099ddc18396baca6c30bc775a73d13601777b15454a18a17,REPAIRED_20260207_201042.csv,125,cdhit_850,125
train,AMP_00000126,AMP,166,b856b5759595ac27fbffaeb8dc27654f31f0c8a4d870f9fe2d0d55d0376f4cc5,REPAIRED_20260207_201042.csv,126,cdhit_2064,126
train,AMP_00000127,AMP,157,d61156b518cb737945819dafe6b3ec4f008c1a337de1848b00f0ac61a61e9ff0,REPAIRED_20260207_201042.csv,127,cdhit_2566,127
train,AMP_00000128,AMP,89,6ef516e1eea97456007875cf8441d8bb77757f6811d61d4f56bc2c4c7329885b,REPAIRED_20260207_201042.csv,128,cdhit_5485,128
train,AMP_00000129,AMP,120,9216d923c8c739e2ae9308432cb185d67feb23ca5c18a388b1bf0391c9fa4dda,REPAIRED_20260207_201042.csv,129,cdhit_4196,129
train,AMP_00000130,AMP,139,7bc3c77e96fba0cf3beee0cc32c0cfbde16886a2ce470021b5c0908f02214ea8,REPAIRED_20260207_201042.csv,130,cdhit_3408,130
train,AMP_00000131,AMP,71,1988181ebd03f6447bf249ecdb7942384ef66f78172c3812579c75660a1c2ac4,REPAIRED_20260207_201042.csv,131,cdhit_6216,131
train,AMP_00000132,AMP,146,780d0c0bb23a52da6eac24209dacf0da2efad6f2a345c77e9b685b440c891373,REPAIRED_20260207_201042.csv,132,cdhit_3082,132
train,AMP_00000133,AMP,106,897f01ed62501659f6b00c97583a995a3cb0334a9dbfe56dccf2887aafa079cc,REPAIRED_20260207_201042.csv,133,cdhit_4698,133
train,AMP_00000134,AMP,150,330220a9491ba20c139a5d7570216b02877345afb17ec52a16fce552d1b6b0d9,REPAIRED_20260207_201042.csv,134,cdhit_2890,134
train,AMP_00000135,AMP,129,4b174161134b058ee215facaad144624fda7acef579d75b703df65bf8891b8ed,REPAIRED_20260207_201042.csv,135,cdhit_3834,135
train,AMP_00000136,AMP,181,306e872ef52fbe4566b7e7d0e7b7a234d377fe410f9f7a6a415bb4ee880ef222,REPAIRED_20260207_201042.csv,136,cdhit_1110,136
train,AMP_00000137,AMP,93,2a350fa6548c12d1b89a5fabe9b0209eccdaf8af35d18b2868c012a69281a541,REPAIRED_20260207_201042.csv,137,cdhit_5250,137
train,AMP_00000138,AMP,115,0110dfa02fc491f6462201b19e0bcc5d5c55e780150438f48e850a803097b922,REPAIRED_20260207_201042.csv,138,cdhit_4400,138
train,AMP_00000139,AMP,128,03443a0e89338be7b1792021a84c0bea95c83c342d8e4c42734d288cf538d444,REPAIRED_20260207_201042.csv,139,cdhit_3881,139
train,AMP_00000140,AMP,81,9d3e9448e4697ae62e040f3084e419c3f2461dd1dacf6ac768f1b8663b744b50,REPAIRED_20260207_201042.csv,140,cdhit_5854,140
train,AMP_00000141,AMP,90,33b1742aec0544f985096726981551a9421b050db799f1f00cfff4fef6e14564,REPAIRED_20260207_201042.csv,141,cdhit_5428,141
train,AMP_00000142,AMP,110,5b82772d9803cffcbe5dc897ad563527bfc1b898f3104b91496995bdbf106c7c,REPAIRED_20260207_201042.csv,142,cdhit_4571,142
train,AMP_00000143,AMP,77,d26f533df76038851732d9719ad1ac80cf8848c5d2ef744dbaf48610a4937b81,REPAIRED_20260207_201042.csv,143,cdhit_5999,143
train,AMP_00000144,AMP,188,fd30a840c38fa7383ae486923a7d0e37535ca197899ccd953429b013f7ca43fe,REPAIRED_20260207_201042.csv,144,cdhit_671,144
train,AMP_00000145,AMP,120,b5d72c512f1647129145552babe0206766aa75a3a623215f63bd08bb22b07cc0,REPAIRED_20260207_201042.csv,145,cdhit_4197,145
train,AMP_00000146,AMP,62,3298e9efa2a688b553c6f41d182b01c190118d6ffc1cd28f2b180799ad639391,REPAIRED_20260207_201042.csv,146,cdhit_6583,146
train,AMP_00000147,AMP,89,866930f51427b3626820d31ceaa9dcc2915525b2fe5afccd032ac74baa03e21a,REPAIRED_20260207_201042.csv,147,cdhit_5486,147
train,AMP_00000148,AMP,162,1623ada3f7f824027087cef4f348e5a15b84811b354009af3c572056475dfaed,REPAIRED_20260207_201042.csv,148,cdhit_2291,148
train,AMP_00000149,AMP,197,2c7e131ff820795b3c52cf01cc0aad7d55751d18bbe14001e68eda5b8e75d467,REPAIRED_20260207_201042.csv,149,cdhit_164,149
train,AMP_00000150,AMP,181,da92725b78c21304672d01e1b9a1cf754ee6725ea53d3a92962d76ad9e1d34af,REPAIRED_20260207_201042.csv,150,cdhit_1111,150
train,AMP_00000151,AMP,153,47ac5199837c96fd8200cb74365c65ea7bae8439c768d84d8abded67b22df120,REPAIRED_20260207_201042.csv,151,cdhit_2758,151
train,AMP_00000152,AMP,123,429cb45efb3012f7c3aff159a693441c75e8c569d9889d09bb4b5cddc0c9bbf8,REPAIRED_20260207_201042.csv,152,cdhit_4087,152
train,AMP_00000153,AMP,92,fa0c52f2534a2dd6fde169c2e57d23451bd2f05ae901dc0e884403c08f2d9a4a,REPAIRED_20260207_201042.csv,153,cdhit_5298,153
train,AMP_00000154,AMP,152,96d5599f48609ddaa5bd711a8dfaa8e4646a86a7db8b9652025c63bff160c098,REPAIRED_20260207_201042.csv,154,cdhit_2805,154
train,AMP_00000155,AMP,83,48c1ad346803311917b0d4c0a2820da583ba66ea7f01d86a39bb7acd98076199,REPAIRED_20260207_201042.csv,155,cdhit_5771,155
train,AMP_00000156,AMP,117,c08f2a6455d894fd16d97732a4164b088b196062d5faa398bc0b8300ff835c94,REPAIRED_20260207_201042.csv,156,cdhit_4324,156
train,AMP_00000157,AMP,160,46ebbcd06d6646f03c75e4cf70d7912cf55bf07ed04d03a937fd7273bf9ef9b7,REPAIRED_20260207_201042.csv,157,cdhit_2403,157
train,AMP_00000158,AMP,191,361e94679f22b2c070a39f37d95bf72786c6cbd3a5bc4657e0ce24f2545eadf1,REPAIRED_20260207_201042.csv,158,cdhit_477,158
